Recency,Frequency,Monetary,CustomerID,PredictedRepeat
52,13,131.94,17785.0,1
206,31,477.79,14320.0,1
16,65,1054.73,15977.0,1
7,85,1313.1,12364.0,1
110,4,1432.0,14566.0,1
0,436,1093.65,13521.0,1
352,16,383.7,12515.0,1
253,26,229.33,15528.0,1
93,26,982.07,15071.0,1
196,33,559.87,16275.0,1
4,215,2552.86,15572.0,1
38,242,81024.84,16029.0,1
33,177,1132.13,13772.0,1
64,34,97.97,18033.0,1
23,114,2024.45,14544.0,1
7,48,2044.8700000000001,13495.0,1
218,28,495.77,17374.0,1
36,116,1869.82,16841.0,1
261,14,1542.08,12818.0,1
205,6,157.9,17556.0,1
3,382,10504.49,17706.0,1
81,268,3536.82,13334.0,1
34,17,285.89,16555.0,1
2,293,2465.48,15750.0,1
133,89,2515.84,15245.0,1
311,21,325.75,14850.0,1
27,154,3281.63,12480.0,1
29,28,439.65999999999997,16025.0,1
31,161,2656.13,12721.0,1
67,15,415.2,14333.0,1
164,98,430.94,15976.0,1
120,60,1021.58,14346.0,1
39,36,541.53,17447.0,1
77,39,344.33,16978.0,1
28,17,183.44,13460.0,1
65,240,2004.02,14462.0,1
1,710,18641.010000000002,15159.0,1
86,69,1236.54,15201.0,1
20,57,1160.07,15088.0,1
6,88,2340.84,12704.0,1
0,180,4757.16,12955.0,1
41,56,338.8,17839.0,1
28,117,885.04,17109.0,1
266,8,183.6,14059.0,1
46,66,1421.61,14019.0,1
368,10,375.69000000000005,16858.0,1
11,114,302.1,15054.0,1
92,6,877.4399999999999,15653.0,1
154,21,216.20999999999998,14104.0,1
42,117,2053.02,16150.0,1
213,8,596.85,15381.0,1
31,67,1266.97,17158.0,1
21,46,468.41,13171.0,1
7,27,221.27,14960.0,1
0,115,1791.56,13510.0,1
283,16,204.5,15319.0,1
64,20,1025.44,16160.0,1
7,524,9261.52,14367.0,1
0,71,1316.66,12526.0,1
0,109,2027.5,16358.0,1
64,19,388.25,14538.0,1
137,26,194.9,14100.0,1
45,63,1095.08,13652.0,1
25,162,508.81,16898.0,1
21,118,2248.9900000000002,16293.0,1
359,19,365.45,16499.0,1
41,57,1842.14,16102.0,1
2,972,8508.82,14527.0,1
51,78,3506.54,16131.0,1
32,19,712.78,17761.0,1
50,24,467.51,15468.0,1
3,344,8476.57,12683.0,1
85,19,351.65,12566.0,1
242,8,185.65,17574.0,1
18,49,679.45,13430.0,1
300,23,530.15,18159.0,1
42,108,5059.32,12432.0,1
6,48,1429.64,16103.0,1
79,33,701.23,14356.0,1
77,19,301.71999999999997,16715.0,1
36,93,382.06,17999.0,1
21,8,287.62,17080.0,1
133,47,529.73,14002.0,1
370,24,427.8,12725.0,1
29,16,349.83000000000004,12532.0,1
7,45,26626.8,16333.0,1
247,12,123.1,15917.0,1
133,14,337.44,15942.0,1
47,54,478.09000000000003,16768.0,1
14,79,1551.78,15117.0,1
33,66,210.31,13532.0,1
112,8,2207.4,15797.0,1
254,63,777.02,15353.0,1
71,11,567.36,13321.0,1
7,50,1335.19,12919.0,1
25,19,595.42,17658.0,1
15,1119,6316.57,15005.0,1
217,26,605.8000000000001,17849.0,1
7,105,2273.1800000000003,17768.0,1
28,133,4396.13,12712.0,1
35,66,1311.3799999999999,14856.0,1
10,7,213.96,14601.0,1
58,148,3160.0,17863.0,1
23,82,380.46999999999997,12890.0,1
226,5,1998.0,16698.0,1
31,13,714.96,15330.0,1
239,28,623.5,15147.0,1
72,82,1674.69,17656.0,1
3,181,1018.43,14083.0,1
35,19,372.7,12544.0,1
83,49,777.53,13563.0,1
28,20,333.48,13727.0,1
188,8,349.1,15405.0,1
108,214,1133.07,17585.0,1
325,28,201.16,13859.0,1
23,123,725.11,15584.0,1
6,360,6784.1900000000005,18055.0,1
63,106,3099.7200000000003,14257.0,1
70,51,743.53,13354.0,1
312,21,580.0500000000001,18095.0,1
14,87,537.74,17345.0,1
10,109,3466.2799999999997,13014.0,1
2,59,1839.3,14216.0,1
81,22,345.0,13774.0,1
14,120,1504.27,12937.0,1
32,26,134.46,14174.0,1
79,53,797.71,12701.0,1
59,141,2128.42,13517.0,1
12,123,859.71,14577.0,1
107,46,423.72,13140.0,1
33,103,1474.32,14404.0,1
264,10,138.68,12902.0,1
114,36,605.0600000000001,14323.0,1
12,58,1353.74,14859.0,1
52,83,1344.78,12463.0,1
80,14,242.35,16215.0,1
15,18,656.69,16157.0,1
8,53,1072.3600000000001,15712.0,1
52,91,2107.66,13265.0,1
55,127,2607.61,13136.0,1
114,51,817.86,16092.0,1
34,214,945.58,15707.0,1
51,170,762.39,16470.0,1
190,11,346.98,13062.0,1
91,34,716.35,12535.0,1
204,22,483.8,13531.0,1
27,153,1593.2,16332.0,1
48,19,4106.4400000000005,17940.0,1
0,590,5900.28,14415.0,1
2,41,1341.6,13743.0,1
4,220,1995.46,17827.0,1
4,112,272.44,17254.0,1
325,43,248.42,18212.0,1
30,96,2647.59,16618.0,1
7,152,901.21,17566.0,1
28,191,2238.09,16743.0,1
73,27,551.04,17674.0,1
50,243,5070.35,15301.0,1
92,18,379.35,15885.0,1
11,57,650.4300000000001,15571.0,1
55,128,796.03,17180.0,1
88,6,103.3,18255.0,1
4,53,1031.41,12724.0,1
71,78,2232.4900000000002,18242.0,1
7,27,497.56,17495.0,1
173,26,513.7,13005.0,1
0,411,4481.18,17364.0,1
319,17,206.98,15820.0,1
49,48,903.9,15807.0,1
17,4,6748.8,16532.0,1
81,14,1043.1,12497.0,1
70,208,1521.76,13764.0,1
264,8,172.9,14693.0,1
266,22,409.98,15695.0,1
10,13,279.05,14480.0,1
16,72,1945.33,15814.0,1
14,21,271.2,17767.0,1
317,8,302.58,14248.0,1
44,47,189.4,18045.0,1
363,46,272.82,16727.0,1
287,12,702.0,16997.0,1
115,44,1706.88,16902.0,1
23,280,4628.75,14286.0,1
250,17,127.84,13781.0,1
172,44,192.85,13568.0,1
276,15,149.64,15869.0,1
260,8,154.95,17698.0,1
294,16,307.4,13932.0,1
241,31,136.04,17972.0,1
193,43,247.14000000000001,17051.0,1
93,58,1037.59,16175.0,1
185,36,710.28,14867.0,1
3,81,2000.86,13305.0,1
59,109,662.59,14451.0,1
135,43,752.6,13730.0,1
11,546,3165.36,15861.0,1
40,237,1112.22,17609.0,1
154,31,187.29,18013.0,1
3,7,90.04,16597.0,1
16,799,5905.64,14505.0,1
162,24,110.92,15537.0,1
308,26,693.3299999999999,12410.0,1
132,21,397.29,17926.0,1
8,63,1064.07,12951.0,1
0,2379,60767.9,15311.0,1
22,22,444.68,18006.0,1
3,342,2161.35,13755.0,1
15,155,1528.09,15916.0,1
32,97,367.93,16372.0,1
43,50,221.97,14598.0,1
80,48,810.5699999999999,16624.0,1
16,17,138.6,14581.0,1
85,98,1793.58,13134.0,1
7,1637,51527.3,14298.0,1
130,63,1089.18,12534.0,1
17,100,1422.52,15106.0,1
95,29,913.19,15364.0,1
22,45,568.55,13939.0,1
49,121,603.71,12556.0,1
1,444,8052.97,18109.0,1
102,28,417.06,16816.0,1
10,43,546.04,17806.0,1
1,237,1602.13,14719.0,1
17,69,1515.9,16748.0,1
373,13,489.6,18074.0,1
165,238,813.0,15644.0,1
287,52,1340.32,13501.0,1
1,7847,40991.57,17841.0,1
186,8,124.57,16849.0,1
16,5,192.60000000000002,14768.0,1
12,207,1357.6,13232.0,1
10,35,745.06,13950.0,1
235,29,175.27,17582.0,1
70,54,2059.4500000000003,14409.0,1
26,16,920.51,13984.0,1
42,261,12601.830000000002,12536.0,1
9,9,420.29999999999995,15206.0,1
8,60,1020.42,12572.0,1
231,6,139.35,17718.0,1
60,73,1055.35,14514.0,1
368,45,623.75,16718.0,1
21,89,651.8199999999999,14034.0,1
6,31,584.07,14023.0,1
191,61,517.53,17454.0,1
44,66,664.26,16208.0,1
130,75,683.9,12942.0,1
213,13,459.4,12355.0,1
111,18,404.58,15938.0,1
282,41,417.2,13166.0,1
21,76,984.91,13117.0,1
234,16,280.55,14242.0,1
109,55,548.97,16536.0,1
283,10,158.68,17165.0,1
44,15,229.64000000000001,12812.0,1
190,5,133.56,16424.0,1
11,232,3945.0,17651.0,1
22,167,981.51,16085.0,1
18,31,635.41,16139.0,1
71,23,224.14,15175.0,1
21,7,110.46,14641.0,1
238,9,116.00999999999999,17601.0,1
20,114,2794.51,12578.0,1
49,299,1498.51,17571.0,1
45,26,698.41,17423.0,1
49,18,272.04,13917.0,1
10,167,2740.43,14125.0,1
42,70,1837.28,18287.0,1
147,180,2103.06,14461.0,1
23,53,1174.58,12640.0,1
122,47,804.02,18248.0,1
302,37,205.48,17843.0,1
107,40,1135.04,17242.0,1
77,60,1126.85,12609.0,1
21,191,4067.29,12449.0,1
157,22,416.08000000000004,13085.0,1
25,61,1213.1599999999999,18263.0,1
1,237,3883.25,14291.0,1
22,31,503.76,12991.0,1
2,40,915.13,14141.0,1
158,90,665.78,17105.0,1
142,9,329.65,17866.0,1
97,6,529.62,14463.0,1
263,14,226.21,16619.0,1
8,141,2588.77,14243.0,1
179,12,236.26000000000002,12732.0,1
18,11,170.32,14860.0,1
1,49,396.48,15883.0,1
16,31,529.41,16185.0,1
31,203,1867.68,14524.0,1
189,14,296.7,17531.0,1
0,38,848.55,12713.0,1
310,14,364.6,12373.0,1
5,175,605.06,13558.0,1
238,22,511.36,12582.0,1
314,43,779.5699999999999,12735.0,1
21,35,618.09,16134.0,1
74,15,322.41,16342.0,1
191,9,228.8,13070.0,1
58,48,1113.02,12679.0,1
6,165,4331.48,17567.0,1
18,47,939.32,17227.0,1
60,21,422.64,13473.0,1
202,58,600.07,13243.0,1
153,33,322.96,13955.0,1
23,27,564.62,13894.0,1
56,54,245.81,17771.0,1
308,21,393.49,17226.0,1
17,37,1132.14,13282.0,1
19,97,7354.62,15465.0,1
361,40,169.47,18004.0,1
112,35,612.29,12513.0,1
199,30,339.59999999999997,13737.0,1
24,9,205.25,15758.0,1
272,13,516.42,13043.0,1
14,38,191.32,14966.0,1
7,327,5630.87,14688.0,1
2,22,1651.03,16711.0,1
15,208,1906.09,17228.0,1
204,9,171.45,17245.0,1
16,225,4730.81,16722.0,1
276,6,325.1,15944.0,1
26,121,2779.3,17838.0,1
85,42,679.68,15322.0,1
210,68,9864.26,12590.0,1
87,155,2881.02,15673.0,1
21,11,177.31,12618.0,1
60,19,499.32,15193.0,1
63,55,1060.56,15706.0,1
16,11,196.94000000000003,12586.0,1
0,210,15610.390000000001,14051.0,1
46,12,255.89999999999998,15277.0,1
127,29,982.42,15133.0,1
23,274,18895.91,12731.0,1
30,165,3170.98,16837.0,1
15,88,784.46,15743.0,1
127,118,428.68,16324.0,1
10,51,797.96,13389.0,1
114,38,653.38,17398.0,1
65,86,574.07,15339.0,1
199,68,1396.99,18202.0,1
63,23,439.56,13359.0,1
32,38,980.31,18170.0,1
37,79,1454.58,13477.0,1
94,12,82.75,17309.0,1
2,24,1662.3,12912.0,1
89,235,3866.33,13124.0,1
28,64,2599.04,12600.0,1
235,5,151.85,16617.0,1
66,39,705.12,16882.0,1
129,94,1703.41,17282.0,1
63,16,221.06,13419.0,1
23,19,328.4,16855.0,1
0,157,3641.32,13426.0,1
15,86,16569.5,14607.0,1
25,124,1064.11,17287.0,1
30,338,2526.28,13975.0,1
18,402,2483.04,16710.0,1
4,28,640.83,13417.0,1
0,76,1245.9,13860.0,1
131,85,2375.41,13722.0,1
64,5,90.6,13947.0,1
337,10,401.9,12386.0,1
8,266,16594.35,16839.0,1
63,119,2634.45,13771.0,1
4,11,400.86,16500.0,1
98,53,1019.76,13376.0,1
59,11,200.14,13980.0,1
56,23,239.92000000000002,17181.0,1
81,93,579.77,16906.0,1
95,124,682.41,13548.0,1
2,5,124.2,16569.0,1
16,369,34684.4,16422.0,1
59,25,397.12,12824.0,1
154,14,308.58000000000004,13699.0,1
183,10,251.21,14501.0,1
11,105,442.85,14093.0,1
25,194,815.32,14499.0,1
149,42,610.01,15795.0,1
112,14,288.18,15396.0,1
70,6,74.39999999999999,13095.0,1
49,29,157.05,14585.0,1
10,1279,5653.82,18118.0,1
177,35,674.52,17749.0,1
39,5,166.20000000000002,14295.0,1
10,47,1643.18,12657.0,1
119,9,254.1,15689.0,1
77,20,432.2,16236.0,1
359,9,422.70000000000005,17525.0,1
95,28,948.25,13748.0,1
10,704,3650.41,13137.0,1
357,19,1660.9,12967.0,1
10,29,450.84,14173.0,1
2,129,1625.05,16987.0,1
325,12,155.93,13898.0,1
15,30,745.52,17034.0,1
372,22,311.81,14142.0,1
312,48,572.8100000000001,15415.0,1
21,4,133.4,12445.0,1
17,315,2047.0,17625.0,1
23,90,1413.66,16245.0,1
70,38,947.4,12458.0,1
